"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 06- 19","108.94","108.97","109.34","108.78","","-0.57%"
"2022- 06- 17","109.56","117.08","118.97","108.25","103.15K","-6.83%"
"2022- 06- 16","117.59","115.98","118.08","112.31","162.54K","1.98%"
"2022- 06- 15","115.31","119.07","119.61","114.60","301.75K","-3.04%"
"2022- 06- 14","118.93","121.09","123.68","116.62","366.32K","-1.65%"
"2022- 06- 13","120.93","120.19","122.25","117.47","372.40K","0.22%"
"2022- 06- 10","120.67","121.46","122.75","118.33","352.91K","-0.69%"
"2022- 06- 09","121.51","122.43","122.72","120.79","293.30K","-0.49%"
"2022- 06- 08","122.11","119.79","123.18","119.30","340.59K","2.26%"
"2022- 06- 07","119.41","119.10","120.36","117.14","341.69K","0.77%"
"2022- 06- 06","118.50","120.82","120.99","117.63","246.83K","-0.31%"
"2022- 06- 03","118.87","117.55","120.46","115.23","240.83K","1.71%"
"2022- 06- 02","116.87","114.80","117.77","111.20","327.60K","1.40%"
"2022- 06- 01","115.26","115.40","117.87","114.58","290.53K","0.51%"
"2022- 05- 31","114.67","114.96","119.98","114.15","440.80K","-2.50%"
"2022- 05- 30","117.61","115.58","117.79","115.39","","1.73%"
"2022- 05- 29","115.61","115.30","115.81","115.20","","0.47%"
"2022- 05- 27","115.07","114.20","115.30","112.85","217.28K","0.86%"
"2022- 05- 26","114.09","110.69","114.83","110.27","234.75K","3.41%"
"2022- 05- 25","110.33","110.39","111.68","109.23","191.37K","0.51%"
"2022- 05- 24","109.77","110.41","111.43","108.61","224.79K","-0.47%"
"2022- 05- 23","110.29","110.56","111.96","109.15","215.62K","-2.60%"
"2022- 05- 20","113.23","111.45","114.04","110.85","20.00K","0.91%"
"2022- 05- 19","112.21","109.09","112.62","105.13","68.51K","2.39%"
"2022- 05- 18","109.59","113.66","115.42","108.46","103.67K","-2.50%"
"2022- 05- 17","112.40","113.87","115.56","111.75","252.63K","-1.58%"
"2022- 05- 16","114.20","110.98","114.90","108.11","289.13K","3.36%"
"2022- 05- 13","110.49","106.65","110.64","106.29","240.99K","4.11%"
"2022- 05- 12","106.13","105.63","107.37","102.66","323.55K","0.40%"
"2022- 05- 11","105.71","99.00","106.44","98.20","382.70K","5.96%"
"2022- 05- 10","99.76","102.65","104.16","98.86","389.75K","-3.23%"
"2022- 05- 09","103.09","110.43","110.49","102.13","368.18K","-6.09%"
"2022- 05- 06","109.77","108.70","111.18","107.24","294.28K","1.39%"
"2022- 05- 05","108.26","107.58","111.37","106.45","286.92K","0.42%"
"2022- 05- 04","107.81","103.50","108.61","102.95","272.91K","5.27%"
"2022- 05- 03","102.41","105.08","105.80","102.10","239.27K","-2.62%"
"2022- 05- 02","105.17","104.00","105.94","100.28","261.88K","0.46%"
"2022- 04- 29","104.69","105.17","107.99","103.78","294.39K","-0.64%"
"2022- 04- 28","105.36","102.11","105.68","100.13","312.06K","3.27%"
"2022- 04- 27","102.02","101.76","102.99","99.80","278.78K","0.31%"
"2022- 04- 26","101.70","98.64","102.78","97.06","351.85K","3.21%"
"2022- 04- 25","98.54","101.38","101.55","95.28","328.15K","-3.46%"
"2022- 04- 22","102.07","104.07","104.22","101.06","246.12K","-1.66%"
"2022- 04- 21","103.79","102.50","105.42","102.01","280.32K","1.01%"
"2022- 04- 20","102.75","103.05","104.16","100.70","17.02K","0.19%"
"2022- 04- 19","102.56","107.75","108.92","102.10","71.79K","-5.22%"
"2022- 04- 18","108.21","107.03","109.81","106.00","68.49K","1.18%"
"2022- 04- 14","106.95","104.20","107.64","102.12","244.95K","2.59%"
"2022- 04- 13","104.25","100.91","104.47","99.87","312.50K","3.63%"
"2022- 04- 12","100.60","95.17","101.35","94.84","329.04K","6.69%"
"2022- 04- 11","94.29","98.40","98.52","92.93","315.87K","-4.04%"
"2022- 04- 08","98.26","97.17","98.76","95.29","310.08K","2.32%"
"2022- 04- 07","96.03","97.16","98.82","93.81","367.32K","-0.21%"
